Title,Latitude,Longitude,Address,Image
Arsenic Wafers,40.694832,-73.993546,143 Montague St,http://s15.postimg.org/hnlbsycuj/arsenicwafers.png
Drink or Die,40.692198,-73.989221,69 Fulton St,http://s23.postimg.org/mtwvzn17f/Drink_or_Die.png
Electric Hair Restoration,40.696356,-73.991407,7 Clinton St,http://s18.postimg.org/5vdflovtl/Electric_Hair_Restoration.png
Wool Bike Suit,40.681707,-73.976258,450 Dean St,http://s13.postimg.org/824co3tdz/Wool_Bike_Suit.png
Biking Boots,40.69073,-73.986443,408 Fulton St,http://s27.postimg.org/p3qm1xjub/Biking_Boots.png
Turkish Baths for Delivery,40.686629,-73.988876,112 Dean St,http://s24.postimg.org/68cv0ui6t/Turkish_Baths_For_Delivery.png
Swastika Ceilings,40.687595,-73.960373,283 Greene Ave,http://s15.postimg.org/kmj1ol7kb/Swastika_Ceilings.png
Buy A Horse,40.70082104,-73.98974419,229 Washington St,http://s29.postimg.org/ngqlzis53/Buy_A_Horse.png
Stinky Licorice,40.70362714,-73.98363948,Plymouth St,http://s27.postimg.org/5jz1vv25v/Stinky_Licorice.png
Dental Progress,,,414 Fulton St,http://s18.postimg.org/jpzqaw3kp/Dental_Progress.png
1857 Bed Bugs,40.69207256,-73.98890197,175 Fulton St,http://s22.postimg.org/3nqoag9a9/1857_Bed_Bugs04281857.png
Cocaine-Free Dentistry,40.69056353,-73.98515224,Hoyt and Fulton,http://s16.postimg.org/x7okp94ad/Cocain_Free_Dentistry02251900.png
Fire on a Bike,40.713922,-74.00911,40 Murray St ,http://s17.postimg.org/c160g7win/wicklockjun191897.png
Oysters!!!,40.69938134,-73.99211526,31 James St,http://s17.postimg.org/3qk78e0yn/Oysters_10_26_1841.png
